,Temp (K),Measured T (ns),Measured T + error (ns),Measured T - error (ns),Theory T (ns),Theory T + error (ns),Theory T - error (ns),Source,Type of T
0,3.517334778,359.2653761993748,19.576574527930404,15.926067864816446,197.41728766432163,22.242523576936463,21.054263849596907,Exp.: Pingault et al. (2017),$T_1^Q$
1,3.796858072,294.7082778125532,19.769738198576704,15.523954212442675,183.6131726575832,20.687247657949058,19.58207525354939,Exp.: Pingault et al. (2017),$T_1^Q$
2,4.059046587,254.22791651897973,19.693208261289783,16.502170117641896,171.68247798273904,19.34304543161889,18.309684185041363,Exp.: Pingault et al. (2017),$T_1^Q$
3,4.297399783,197.8444855173553,15.950461185433056,14.07732013011173,161.26071517105675,18.16885087249682,17.19821848408327,Exp.: Pingault et al. (2017),$T_1^Q$
4,4.557421452,188.60918544024787,19.473718990487356,15.9988773461792,143.90823064122506,16.213788826818842,15.34760148868449,Exp.: Pingault et al. (2017),$T_1^Q$
5,4.797941495,170.72994972303127,16.66960432682251,13.705738956714043,136.60114675893135,15.390517534555272,14.568311722073275,Exp.: Pingault et al. (2017),$T_1^Q$
6,5.008125677,169.5954719832471,20.833643545051643,16.495599742824623,136.60114675893135,15.390517534555272,14.568311722073275,Exp.: Pingault et al. (2017),$T_1^Q$
7,5.218309859,137.82336538692903,18.860077372820257,14.584061748494548,130.02080099697085,14.6491260511323,13.866527508881816,Exp.: Pingault et al. (2017),$T_1^Q$
8,3.600104275,114.19465494582776,10.439850441138034,8.96643927638263,121.32398345620517,12.127285020972622,11.473758919312843,Exp.: Pingault et al. (2017),$T_2^Q$
9,3.956725756,104.25238358458883,10.973689989623821,8.914624886688898,107.30002466348273,10.539580527981869,9.970383799309928,Exp.: Pingault et al. (2017),$T_2^Q$
10,4.348800834,87.2637912827991,11.206332949453213,8.868111087979429,96.6218920997664,9.329318350961458,8.824388283115567,Exp.: Pingault et al. (2017),$T_2^Q$
11,4.699165798,82.75640026124077,8.42304508053455,6.906939432506263,92.17842455374725,8.825262399494846,8.347103024185401,Exp.: Pingault et al. (2017),$T_2^Q$
12,4.928571429,76.42307075250183,7.611160521018675,6.300676032359689,88.20331830766244,8.374085672074543,7.919896382915454,Exp.: Pingault et al. (2017),$T_2^Q$
